NAME,SEASON,DREB/G,OREB/G,REB/G,PF/G,A/G,TO/G,A/TO,STL/G,BLK/G
Tiffany James,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley Shaw,2010,2.3,1.5,3.8,1.3,0.2,0.5,0.3,0.7,0.0
Elizabeth Leighton,2010,0.1,0.4,0.5,0.6,0.3,0.4,0.7,0.5,0.0
Stefanie Chapman,2010,0.5,0.8,1.3,1.6,1.4,2.1,0.7,1.3,0.0
Alise Brown,2010,0.7,3.1,3.8,2.3,3.8,3.5,1.1,2.1,0.0
Keisha Brown,2010,1.6,1.1,2.7,1.2,2.2,3.1,0.7,2.4,0.2
Abbey Duinker,2010,0.9,1.9,2.9,2.5,0.7,1.2,0.6,0.8,0.6
Emma Duinker,2010,2.4,3.5,6.0,2.4,3.1,1.4,2.2,1.5,0.3
Robyn Fleckenstein,2010,0.1,0.6,0.7,0.1,0.3,0.0,0.0,0.1,0.1
Lindsay Harris,2010,1.6,1.8,3.4,2.4,2.3,2.1,1.1,0.8,0.1
Jasmine Parent,2010,2.1,3.0,5.1,2.0,1.2,0.8,1.5,0.6,0.1
Erika Berry,2010,1.8,2.1,3.9,1.3,0.3,1.1,0.2,0.7,0.3
Sondra Medley,2010,1.4,4.0,5.4,2.5,0.9,1.4,0.6,0.4,1.0
Belicia Bella-Ashe,2010,1.2,0.9,2.1,0.9,0.1,0.9,0.1,0.6,0.0
Margaret Lamptey,2010,0.7,0.2,0.8,0.5,0.2,0.5,0.3,0.3,0.0
Louise Valdez,2010,0.3,0.5,0.8,0.8,0.3,1.4,0.2,0.2,0.0
Kari Everett,2010,2.4,4.4,6.8,1.6,2.8,2.8,1.0,0.8,0.3
Nicole Works,2010,0.7,1.5,2.1,1.6,4.7,2.1,2.2,1.3,0.1
Jahlica Kirnon,2010,1.0,1.8,2.8,1.1,1.9,2.1,0.9,1.6,0.3
Karmen Brown,2010,3.4,2.7,6.0,2.2,2.0,2.6,0.8,1.6,0.1
Katie McGarrigle,2010,0.3,0.8,1.1,0.8,0.8,1.1,0.8,0.4,0.0
Luciann Lahey,2010,0.5,0.8,1.3,0.6,0.8,1.2,0.7,0.6,0.1
Jelena Vujovic,2010,0.4,1.1,1.4,0.6,0.1,0.7,0.1,0.4,0.0
Justine Macneil,2010,0.4,1.0,1.4,0.8,0.2,0.4,0.6,0.1,0.1
Kelsey Hodgson,2010,1.1,4.5,5.6,1.4,3.2,2.3,1.4,3.0,0.1
Caitlin Ulrich,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brittany Morrison,2010,1.2,2.3,3.5,2.5,0.5,0.9,0.6,0.3,0.3
Stephanie Toxopeus,2010,2.4,3.5,5.9,2.4,0.8,1.5,0.5,0.7,0.5
Rachael Harrison,2010,0.7,2.1,2.8,1.3,3.0,1.8,1.6,1.1,0.0
Alex Legge,2010,2.3,3.8,6.1,1.7,4.0,2.9,1.4,0.6,0.1
Leah Girdwood,2010,1.4,2.8,4.2,2.3,0.6,1.4,0.4,0.0,0.2
