Year,Name,School,Conference,Grade
2010,Alise Brown,Acadia,AUS,1
2010,Justine Colley-Leger, Saint Marys,AUS,1
2010,Kari Everett, Cape Breton,AUS,1
2010,Kelsey Hodgson, Cape Breton,AUS,1
2010,Amanda Sharpe, UNB,AUS,1
2011,Justine Colley-Leger, Saint Marys,AUS,1
2011,Emma Duinker, Acadia,AUS,1
2011,Jahlica Kirnon, Cape Breton,AUS,1
2011,Amanda Sharpe, UNB,AUS,1
2011,Ashley Stephen, StFX,AUS,1
2012,Claire Colborne, UNB,AUS,1
2012,Justine Colley-Leger, Saint Marys,AUS,1
2012,Cassie Cooke, Cape Breton,AUS,1
2012,Emma Duinker, Acadia,AUS,1
2012,Alexandria Forsey, Memorial,AUS,1
2013,Keisha Brown, Dalhousie,AUS,1
2013,Justine Colley-Leger, Saint Marys,AUS,1
2013,Grace Fishbein, Memorial,AUS,1
2013,Lindsay Harris, Acadia,AUS,1
2013,Lia St. Pierre, StFX,AUS,1
2014,Justine Colley-Leger, Saint Marys,AUS,1
2014,Rachelle Coward, Saint Marys,AUS,1
2014,Abbey Duinker, Acadia,AUS,1
2014,Lia St. Pierre, StFX,AUS,1
2014,Tessa Stammberger, Dalhousie,AUS,1
2015,Amy Gough, UPEI,AUS,1
2015,Alison Keough, Cape Breton,AUS,1
2015,Kennisha-Shanice Luberisse, Saint Marys,AUS,1
2015,Megan Robinson, Memorial,AUS,1
2015,Courtney Thompson, Dalhousie,AUS,1
2016,Paloma Anderson, Acadia,AUS,1
2016,Rachelle Coward, Saint Marys,AUS,1
2016,Alison Keough, Cape Breton,AUS,1
2016,Lindsay Lessard, StFX,AUS,1
2016,Tessa Stammberger, Dalhousie,AUS,1
2017,Paloma Anderson, Acadia,AUS,1
2017,Angelina Carvery, Saint Marys,AUS,1
2017,Laura Kaye, UNB,AUS,1
2017,Alison Keough, Cape Breton,AUS,1
2017,Sydney Stewart, Memorial,AUS,1
2018,Paloma Anderson, Acadia,AUS,1
2018,Alexandra Berry, Acadia,AUS,1
2018,Hannah Brown, Cape Breton,AUS,1
2018,Alison Keough, Cape Breton,AUS,1
2018,Kiera Rigby, UPEI,AUS,1
2019,Hannah Brown, Cape Breton,AUS,1
2019,Monique Calliste, Cape Breton,AUS,1
2019,Carolina Del Santo, UPEI,AUS,1
2019,Haley McDonald, Acadia,AUS,1
2019,Sydney Stewart, Memorial,AUS,1
2020,Reese Baxendale, UPEI,AUS,1
2020,Jenna Mae Ellsworth, UPEI,AUS,1
2020,Haley McDonald, Acadia,AUS,1
2020,Haille Nickerson, Memorial,AUS,1
2020,MacKenzee Ryan, Cape Breton,AUS,1
2021,Kiyara Letlow, Cape Breton,AUS,1
2021,Alaina McMillan, Saint Marys,AUS,1
2021,Lauren Rainford, UPEI,AUS,1
2021,Alana Short, Memorial,AUS,1
2021,Jayda Veinot, Acadia,AUS,1
2023,Kiyara Letlow, Cape Breton,AUS,1
2023,Haley McDonald, Acadia,AUS,1
2023,Alaina McMillan, Saint Marys,AUS,1
2023,Lauren Rainford, UPEI,AUS,1
2023,Jayda Veinot, UNB,AUS,1
2010,Laurie Girdwood, Dalhousie,AUS,2
2010,Erin Mullaley, Memorial,AUS,2
2010,April Scott Gamblin, Dalhousie,AUS,2
2010,Ashley Stephen, StFX,AUS,2
2010,Victoria Thistle, Memorial,AUS,2
2011,Sheryl Chisholm, StFX,AUS,2
2011,Leah Corby, UNB,AUS,2
2011,Grace Fishbein, Memorial,AUS,2
2011,Alexandria Forsey, Memorial,AUS,2
2011,Nicole Works, Cape Breton,AUS,2
2012,Keisha Brown, Dalhousie,AUS,2
2012,Susanne Canvin Morrison, Saint Marys,AUS,2
2012,Stefanie Chapman, Acadia,AUS,2
