TEAM,CONFERENCE
acadia,AUS
capebreton,AUS
dalhousie,AUS
memorial,AUS
saintmarys,AUS
stfx,AUS
unb,AUS
upei,AUS
bishops,RSEQ
concordia,RSEQ
laval,RSEQ
mcgill,RSEQ
uqam,RSEQ
brock,OUA
carleton,OUA
guelph,OUA
lakehead,OUA
laurentian,OUA
laurier,OUA
mcmaster,OUA
ottawa,OUA
queens,OUA
ryerson,OUA
toronto,OUA
waterloo,OUA
western,OUA
windsor,OUA
york,OUA
alberta,CANWEST
brandon,CANWEST
calgary,CANWEST
lethbridge,CANWEST
manitoba,CANWEST
regina,CANWEST
saskatchewan,CANWEST
thompsonrivers,CANWEST
trinitywestern,CANWEST
ubc,CANWEST
ufv,CANWEST
victoria,CANWEST
winnipeg,CANWEST
ubcokanagan,CANWEST
mountroyal,CANWEST
unbc,CANWEST
algoma,OUA
nipissing,OUA
macewan,CANWEST
ontariotech,OUA
torontometropolitan,OUA
