Num,Name,Yr,Pos,GP,GS,Min,Pct,3Pct,FTPct,Pts,FGM,FGA,3FGM,3FGA,FTM,FTA,OReb,DReb,Reb,Ast,TO,Stl,Blk,Team,Season
07,Stefanie Chapman,,,20,-,304,31.3,24.4,83.3,83,31,99,11,45,10,12,9,17,26,28,43,25,0,acadia,2010
08,Alise Brown,,,20,18,666,44.0,40.4,71.9,421,154,350,44,109,69,96,13,63,76,76,69,43,0,acadia,2010
11,Abbey Duinker,,,19,9,296,38.3,25.0,55.6,79,36,94,2,8,5,9,18,37,55,14,22,15,11,acadia,2010
12,Emma Duinker,,,20,18,600,31.3,36.4,75.7,210,79,252,24,66,28,37,48,71,119,63,29,30,6,acadia,2010
14,Lindsay Harris,,,18,16,526,37.1,9.1,70.6,97,36,97,1,11,24,34,28,33,61,41,37,15,2,acadia,2010
15,Jasmine Parent,,,20,5,429,47.2,0.0,79.3,157,67,142,0,3,23,29,42,60,102,24,16,12,2,acadia,2010
21,Erika Berry,,,16,1,169,34.0,0.0,40.0,46,17,50,0,1,12,30,29,34,63,4,17,11,4,acadia,2010
22,Sondra Medley,,,19,15,433,46.2,33.3,75.7,155,60,130,7,21,28,37,27,76,103,17,27,8,19,acadia,2010
04,Louise Valdez,,,13,-,72,33.3,27.8,60.0,32,12,36,5,18,3,5,4,6,10,4,18,2,0,capebreton,2010
06,Kari Everett,,,20,11,596,44.0,9.1,77.5,261,99,225,1,11,62,80,47,88,135,55,55,17,7,capebreton,2010
07,Nicole Works,,,20,11,567,40.0,12.5,81.3,137,48,120,2,16,39,48,13,30,43,93,43,26,2,capebreton,2010
08,Jahlica Kirnon,,,20,-,397,34.4,27.3,71.0,146,56,163,12,44,22,31,20,36,56,37,43,31,7,capebreton,2010
09,Karmen Brown,,,20,11,499,48.1,-,72.6,173,64,133,0,0,45,62,67,54,121,41,53,31,3,capebreton,2010
10,Katie McGarrigle,,,16,-,126,20.0,25.0,80.0,21,5,25,3,12,8,10,5,13,18,13,17,6,0,capebreton,2010
11,Luciann Lahey,,,13,-,105,12.0,0.0,100.0,12,3,25,0,5,6,6,7,10,17,11,15,8,1,capebreton,2010
12,Jelena Vujovic,,,14,-,91,43.3,45.5,100.0,32,13,30,5,11,1,1,5,15,20,1,10,6,0,capebreton,2010
13,Justine Macneil,,,14,-,88,45.5,0.0,77.8,34,10,22,0,1,14,18,5,14,19,3,5,1,1,capebreton,2010
14,Kelsey Hodgson,,,20,11,668,43.1,35.9,90.4,441,152,353,52,145,85,94,22,90,112,64,45,60,3,capebreton,2010
32,Brittany Morrison,,,20,4,299,38.1,-,46.4,77,32,84,0,0,13,28,24,45,69,10,18,6,6,capebreton,2010
34,Stephanie Toxopeus,,,20,7,411,43.2,-,35.0,110,48,111,0,0,14,40,48,70,118,15,30,14,10,capebreton,2010
03,Rachael Harrison,,,17,16,490,29.8,27.7,85.7,109,39,131,13,47,18,21,12,36,48,51,31,19,0,dalhousie,2010
08,Anna Von maltzahn,,,18,3,289,28.4,6.7,64.3,85,33,116,1,15,18,28,17,55,72,13,36,15,6,dalhousie,2010
09,April Scott,,,16,14,420,38.2,29.4,64.3,145,52,136,5,17,36,56,14,34,48,67,43,27,1,dalhousie,2010
10,Brooke Sullivan,,,20,4,352,37.6,24.1,70.4,114,44,117,7,29,19,27,26,43,69,24,32,13,4,dalhousie,2010
11,Patricia McNeil,,,19,4,314,31.3,11.1,73.3,52,20,64,1,9,11,15,12,33,45,28,40,10,4,dalhousie,2010
15,Cailin Crosby,,,20,18,541,46.5,0.0,73.0,228,87,187,0,1,54,74,56,90,146,18,41,4,4,dalhousie,2010
22,Laurie Girdwood,,,20,17,471,57.1,50.0,69.8,278,120,210,1,2,37,53,69,87,156,28,40,15,8,dalhousie,2010
06,Erin Mullaley,,,20,20,597,37.7,36.3,74.3,189,63,167,37,102,26,35,10,37,47,72,45,32,0,memorial,2010
08,Jennifer Parsons,,,20,6,291,39.5,0.0,60.0,78,30,76,0,1,18,30,24,40,64,15,27,8,12,memorial,2010
10,Ericka Gratton,,,14,-,150,46.2,-,75.0,39,18,39,0,0,3,4,8,26,34,9,10,4,6,memorial,2010
11,Brittany Dalton,,,20,18,461,35.4,21.4,73.3,176,67,189,9,42,33,45,34,81,115,54,84,34,13,memorial,2010
12,Victoria Thistle,,,13,12,390,48.2,11.1,58.3,205,81,168,1,9,42,72,18,58,76,38,26,21,6,memorial,2010
