NAME,TEAM,SEASON,PLYR_YR,NUM,GP,GS,MIN/G
Tiffany James,acadia,2010,,01,0.0,0.0,0.0
Ashley Shaw,acadia,2010,,04,6.0,0.0,11.3
Elizabeth Leighton,acadia,2010,,06,8.0,0.0,3.6
Stefanie Chapman,acadia,2010,,07,20.0,0.0,15.2
Alise Brown,acadia,2010,,08,20.0,18.0,33.3
Keisha Brown,acadia,2010,,09,9.0,6.0,21.4
Abbey Duinker,acadia,2010,,11,19.0,9.0,15.6
Emma Duinker,acadia,2010,,12,20.0,18.0,30.0
Robyn Fleckenstein,acadia,2010,,13,7.0,0.0,3.6
Lindsay Harris,acadia,2010,,14,18.0,16.0,29.2
Jasmine Parent,acadia,2010,,15,20.0,5.0,21.4
Erika Berry,acadia,2010,,21,16.0,1.0,10.6
Sondra Medley,acadia,2010,,22,19.0,15.0,22.8
Belicia Bella-Ashe,acadia,2010,,23,9.0,1.0,8.8
Margaret Lamptey,acadia,2010,,25,6.0,0.0,6.3
Louise Valdez,capebreton,2010,,04,13.0,0.0,5.5
Kari Everett,capebreton,2010,,06,20.0,11.0,29.8
Nicole Works,capebreton,2010,,07,20.0,11.0,28.4
Jahlica Kirnon,capebreton,2010,,08,20.0,0.0,19.9
Karmen Brown,capebreton,2010,,09,20.0,11.0,24.9
Katie McGarrigle,capebreton,2010,,10,16.0,0.0,7.9
Luciann Lahey,capebreton,2010,,11,13.0,0.0,8.1
Jelena Vujovic,capebreton,2010,,12,14.0,0.0,6.5
Justine Macneil,capebreton,2010,,13,14.0,0.0,6.3
Kelsey Hodgson,capebreton,2010,,14,20.0,11.0,33.4
Caitlin Ulrich,capebreton,2010,,15,0.0,0.0,0.0
Brittany Morrison,capebreton,2010,,32,20.0,4.0,14.9
Stephanie Toxopeus,capebreton,2010,,34,20.0,7.0,20.6
Rachael Harrison,dalhousie,2010,,03,17.0,16.0,28.8
Alex Legge,dalhousie,2010,,04,10.0,10.0,31.4
Leah Girdwood,dalhousie,2010,,05,10.0,0.0,14.2
Megan Wiggins,dalhousie,2010,,06,11.0,0.0,6.5
Anne Kiberd,dalhousie,2010,,07,4.0,0.0,4.5
Anna Von maltzahn,dalhousie,2010,,08,18.0,3.0,16.1
April Scott,dalhousie,2010,,09,16.0,14.0,26.3
Brooke Sullivan,dalhousie,2010,,10,20.0,4.0,17.6
Patricia McNeil,dalhousie,2010,,11,19.0,4.0,16.5
Deanna Yarr,dalhousie,2010,,12,5.0,1.0,9.6
Carla Norrad,dalhousie,2010,,13,3.0,1.0,12.7
Jessica Frison,dalhousie,2010,,14,3.0,0.0,12.0
Cailin Crosby,dalhousie,2010,,15,20.0,18.0,27.1
Laurie Girdwood,dalhousie,2010,,22,20.0,17.0,23.6
Marie Mullins,dalhousie,2010,,23,10.0,0.0,12.2
Tiffany Tozer,memorial,2010,,00,0.0,0.0,0.0
Samantha Kavanagh,memorial,2010,,04,11.0,0.0,10.1
Erin Mullaley,memorial,2010,,06,20.0,20.0,29.9
Jennifer Parsons,memorial,2010,,08,20.0,6.0,14.6
Ericka Gratton,memorial,2010,,10,14.0,0.0,10.7
Brittany Dalton,memorial,2010,,11,20.0,18.0,23.1
Victoria Thistle,memorial,2010,,12,13.0,12.0,30.0
Robyn O'Rielly,memorial,2010,,13,15.0,2.0,19.2
Lauren Hawkins,memorial,2010,,14,5.0,0.0,11.2
Alexandria Forsey,memorial,2010,,15,18.0,18.0,24.1
Kim Devison,memorial,2010,,21,17.0,2.0,13.9
Emily Jameson,memorial,2010,,23,17.0,0.0,11.2
Anna Snow,memorial,2010,,24,4.0,0.0,3.5
Grace Fishbein,memorial,2010,,31,20.0,18.0,27.7
Stephanie Stewart,memorial,2010,,32,15.0,0.0,6.2
Angela Fifield,saintmarys,2010,,04,18.0,0.0,12.9
Justine Colley,saintmarys,2010,,05,20.0,10.0,32.0
Shanon Chapman,saintmarys,2010,,06,8.0,0.0,7.4
Amanda Smith,saintmarys,2010,,07,19.0,4.0,21.3
Kelsey Daley,saintmarys,2010,,08,20.0,10.0,33.9
Robbi Daley,saintmarys,2010,,09,18.0,1.0,16.8
Rhonda Kennedy,saintmarys,2010,,10,19.0,3.0,13.4
Stephanie Clarke,saintmarys,2010,,11,19.0,0.0,11.4
Lia Milito,saintmarys,2010,,12,16.0,3.0,18.2
Laure Pitfield,saintmarys,2010,,13,19.0,9.0,24.7
Rebecca Nuttall,saintmarys,2010,,14,20.0,10.0,27.9
Aicha Salah,saintmarys,2010,,15,8.0,0.0,5.4
Maria Konchalski,stfx,2010,,04,19.0,0.0,6.7
Katherine Kanaski,stfx,2010,,05,20.0,18.0,21.9
Camesha McKenzie,stfx,2010,,06,20.0,15.0,22.9
Rebecca Sheehan,stfx,2010,,07,20.0,4.0,19.4
Jocelyn Moore,stfx,2010,,08,20.0,0.0,8.3
Tory Anderson,stfx,2010,,09,20.0,18.0,28.6
Sheryl Chisholm,stfx,2010,,10,20.0,17.0,26.6
Kirsten Jones,stfx,2010,,11,20.0,0.0,17.5
Lisa Gauthier,stfx,2010,,13,7.0,0.0,4.7
Tristan Macdonald,stfx,2010,,14,10.0,0.0,4.4
Ellen Crosby,stfx,2010,,15,0.0,0.0,0.0
Elyse Hnatiuk,stfx,2010,,21,20.0,0.0,16.6
Ashley Stephen,stfx,2010,,23,20.0,18.0,26.9
Megan Corby,unb,2010,,04,17.0,13.0,20.1
Samantha Kaminsky,unb,2010,,05,20.0,0.0,8.7
Alisha Sterling,unb,2010,,06,14.0,2.0,14.3
Emily Corey,unb,2010,,07,16.0,0.0,7.3
Jessica Steed,unb,2010,,08,16.0,12.0,23.6
Emma Russell,unb,2010,,09,20.0,16.0,24.1
Laura Fowler,unb,2010,,10,20.0,6.0,16.6
Jordanne Holstein,unb,2010,,11,18.0,12.0,21.8
Amanda Sharpe,unb,2010,,12,20.0,16.0,29.1
Tashina Van vlack,unb,2010,,13,19.0,3.0,20.6
