NAME,SEASON,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,PPG
Tiffany James,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley Shaw,2010,2.3,5.8,40.0,0.0,0.0,0.0,1.5,2.7,56.3,6.2
Elizabeth Leighton,2010,0.2,0.6,40.0,0.1,0.4,33.3,0.0,0.0,0.0,0.6
Stefanie Chapman,2010,1.6,5.0,31.3,0.6,2.2,24.4,0.5,0.6,83.3,4.2
Alise Brown,2010,7.7,17.5,44.0,2.2,5.5,40.4,3.5,4.8,71.9,21.1
Keisha Brown,2010,4.2,8.8,48.1,0.8,2.8,28.0,1.4,2.3,61.9,10.7
Abbey Duinker,2010,1.9,4.9,38.3,0.1,0.4,25.0,0.3,0.5,55.6,4.2
Emma Duinker,2010,4.0,12.6,31.3,1.2,3.3,36.4,1.4,1.9,75.7,10.5
Robyn Fleckenstein,2010,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
Lindsay Harris,2010,2.0,5.4,37.1,0.1,0.6,9.1,1.3,1.9,70.6,5.4
Jasmine Parent,2010,3.4,7.1,47.2,0.0,0.1,0.0,1.1,1.4,79.3,7.8
Erika Berry,2010,1.1,3.1,34.0,0.0,0.1,0.0,0.8,1.9,40.0,2.9
Sondra Medley,2010,3.2,6.8,46.2,0.4,1.1,33.3,1.5,1.9,75.7,8.2
Belicia Bella-Ashe,2010,1.1,2.4,45.5,0.0,0.0,0.0,0.9,2.0,44.4,3.1
Margaret Lamptey,2010,0.2,1.0,16.7,0.0,0.7,0.0,0.0,0.0,0.0,0.3
Louise Valdez,2010,0.9,2.8,33.3,0.4,1.4,27.8,0.2,0.4,60.0,2.5
Kari Everett,2010,5.0,11.2,44.0,0.1,0.6,9.1,3.1,4.0,77.5,13.1
Nicole Works,2010,2.4,6.0,40.0,0.1,0.8,12.5,1.9,2.4,81.3,6.8
Jahlica Kirnon,2010,2.8,8.2,34.4,0.6,2.2,27.3,1.1,1.6,71.0,7.3
Karmen Brown,2010,3.2,6.7,48.1,0.0,0.0,0.0,2.2,3.1,72.6,8.7
Katie McGarrigle,2010,0.3,1.6,20.0,0.2,0.8,25.0,0.5,0.6,80.0,1.3
Luciann Lahey,2010,0.2,1.9,12.0,0.0,0.4,0.0,0.5,0.5,100.0,0.9
Jelena Vujovic,2010,0.9,2.1,43.3,0.4,0.8,45.5,0.1,0.1,100.0,2.3
Justine Macneil,2010,0.7,1.6,45.5,0.0,0.1,0.0,1.0,1.3,77.8,2.4
Kelsey Hodgson,2010,7.6,17.6,43.1,2.6,7.2,35.9,4.2,4.7,90.4,22.1
Caitlin Ulrich,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brittany Morrison,2010,1.6,4.2,38.1,0.0,0.0,0.0,0.7,1.4,46.4,3.9
Stephanie Toxopeus,2010,2.4,5.5,43.2,0.0,0.0,0.0,0.7,2.0,35.0,5.5
Rachael Harrison,2010,2.3,7.7,29.8,0.8,2.8,27.7,1.1,1.2,85.7,6.4
Alex Legge,2010,2.8,5.0,56.0,0.1,0.2,50.0,2.5,3.9,64.1,8.2
Leah Girdwood,2010,2.6,5.2,50.0,0.0,0.0,0.0,1.7,2.5,68.0,6.9
Megan Wiggins,2010,0.5,1.3,35.7,0.3,0.6,42.9,0.2,0.2,100.0,1.4
Anne Kiberd,2010,0.2,1.2,20.0,0.0,0.5,0.0,0.2,0.5,50.0,0.8
Anna Vo maltzahn,2010,1.8,6.4,28.4,0.1,0.8,6.7,1.0,1.6,64.3,4.7
April Scott,2010,3.2,8.5,38.2,0.3,1.1,29.4,2.2,3.5,64.3,9.1
Brooke Sullivan,2010,2.2,5.8,37.6,0.3,1.4,24.1,0.9,1.4,70.4,5.7
Patricia McNeil,2010,1.1,3.4,31.3,0.1,0.5,11.1,0.6,0.8,73.3,2.7
Deanna Yarr,2010,0.2,0.6,33.3,0.2,0.4,50.0,0.0,0.4,0.0,0.6
Carla Norrad,2010,0.7,2.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,1.3
Jessica Frison,2010,0.3,1.7,20.0,0.0,0.0,0.0,0.0,0.7,0.0,0.7
Cailin Crosby,2010,4.3,9.3,46.5,0.0,0.1,0.0,2.7,3.7,73.0,11.4
Laurie Girdwood,2010,6.0,10.5,57.1,0.1,0.1,50.0,1.9,2.6,69.8,13.9
Marie Mullins,2010,1.8,4.8,37.5,0.0,0.1,0.0,0.9,1.1,81.8,4.5
Tiffany Tozer,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samantha Kavanagh,2010,0.6,1.5,41.2,0.1,0.3,33.3,0.1,0.2,50.0,1.5
Erin Mullaley,2010,3.1,8.3,37.7,1.9,5.1,36.3,1.3,1.8,74.3,9.4
Jennifer Parsons,2010,1.5,3.8,39.5,0.0,0.1,0.0,0.9,1.5,60.0,3.9
Ericka Gratton,2010,1.3,2.8,46.2,0.0,0.0,0.0,0.2,0.3,75.0,2.8
Brittany Dalton,2010,3.4,9.4,35.4,0.5,2.1,21.4,1.6,2.2,73.3,8.8
Victoria Thistle,2010,6.2,12.9,48.2,0.1,0.7,11.1,3.2,5.5,58.3,15.8
Robyn O'Rielly,2010,2.4,6.4,37.5,1.5,4.5,34.3,0.3,0.5,62.5,6.7
Lauren Hawkins,2010,0.4,3.0,13.3,0.4,2.4,16.7,0.6,0.8,75.0,1.8
Alexandria Forsey,2010,3.9,9.1,43.3,0.0,0.0,0.0,2.8,4.3,65.4,10.7
Kim Devison,2010,1.2,3.4,34.5,0.7,2.0,35.3,0.7,0.8,85.7,3.8
Emily Jameson,2010,0.8,2.3,33.3,0.2,0.4,42.9,0.8,1.1,68.4,2.5
Anna Snow,2010,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grace Fishbein,2010,3.3,6.3,52.4,0.1,0.3,50.0,2.3,2.8,83.6,9.1
Stephanie Stewart,2010,0.5,0.9,57.1,0.0,0.0,0.0,0.7,1.3,55.0,1.8
Angela Fifield,2010,0.7,2.4,29.5,0.0,0.3,0.0,0.6,0.7,76.9,2.0
Justine Colley,2010,7.2,17.6,41.0,1.0,3.8,26.3,5.5,7.7,71.4,20.9
Shanon Chapman,2010,0.5,1.5,33.3,0.1,0.6,20.0,0.0,0.2,0.0,1.1
Amanda Smith,2010,1.1,3.5,31.3,0.1,0.8,13.3,0.7,0.9,77.8,3.1
