SEASON,TEAM,SPLIT,GP,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,DREB/G,OREB/G,REB/G,A/G,TO/G,STL/G,BLK/G,PF/G,PPG,OFF_EFF,NET_EFF
2010,acadia,Total,20.0,545.0,1364.0,40.0,97.0,299.0,32.4,229.0,339.0,67.6,13.3,21.4,34.8,14.7,16.1,9.8,2.4,18.1,70.8,0.998,0.001
2010,acadia,Exhibition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,acadia,Home,10.0,280.0,676.0,41.4,56.0,162.0,34.6,134.0,204.0,65.7,14.7,22.6,37.3,14.8,15.9,10.5,2.7,19.0,75.0,1.09,0.109
2010,acadia,Away,10.0,265.0,688.0,38.5,41.0,137.0,29.9,95.0,135.0,70.4,12.0,20.3,32.3,14.6,16.3,9.2,2.0,17.1,66.6,0.911,-0.102
2010,acadia,Wins,7.0,199.0,479.0,41.5,30.0,96.0,31.3,103.0,157.0,65.6,15.3,24.7,40.0,14.0,15.7,11.3,3.0,17.0,75.9,1.102,0.264
2010,acadia,Losses,13.0,346.0,885.0,39.1,67.0,203.0,33.0,126.0,182.0,69.2,12.3,19.7,32.0,15.1,16.3,9.1,2.0,18.6,68.1,0.945,-0.145
2010,acadia,November,7.0,200.0,508.0,39.4,32.0,112.0,28.6,69.0,105.0,65.7,12.6,24.9,37.4,18.7,17.4,11.1,3.9,19.0,71.6,0.924,0.067
2010,acadia,January,6.0,147.0,364.0,40.4,28.0,77.0,36.4,63.0,90.0,70.0,12.2,17.7,29.8,13.7,16.0,9.5,2.0,18.0,64.2,0.995,-0.152
2010,acadia,February,7.0,198.0,492.0,40.2,37.0,110.0,33.6,97.0,144.0,67.4,15.1,21.3,36.4,11.6,14.9,8.9,1.1,17.1,75.7,1.082,0.049
2010,capebreton,Total,20.0,542.0,1327.0,40.8,80.0,263.0,30.4,312.0,423.0,73.8,13.8,23.9,37.7,17.4,18.1,10.4,2.0,15.3,73.8,1.046,0.295
2010,capebreton,Exhibition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,capebreton,Home,11.0,308.0,785.0,39.2,42.0,143.0,29.4,161.0,225.0,71.6,14.5,23.3,37.7,21.8,18.3,11.3,2.2,14.7,74.5,0.99,0.272
2010,capebreton,Away,9.0,234.0,542.0,43.2,38.0,120.0,31.7,151.0,198.0,76.3,13.1,24.6,37.7,11.9,17.8,9.3,1.8,16.1,73.0,1.125,0.33
2010,capebreton,Wins,19.0,514.0,1262.0,40.7,75.0,248.0,30.2,287.0,393.0,73.0,13.9,24.1,37.9,17.6,17.9,10.3,2.1,14.6,73.2,1.039,0.31
2010,capebreton,Losses,1.0,28.0,65.0,43.1,5.0,15.0,33.3,25.0,30.0,83.3,13.0,20.0,33.0,13.0,21.0,12.0,1.0,30.0,86.0,1.178,0.018
2010,capebreton,November,7.0,194.0,450.0,43.1,37.0,102.0,36.3,108.0,152.0,71.1,13.7,25.9,39.6,17.0,17.9,9.9,1.3,13.7,76.1,1.113,0.413
2010,capebreton,January,8.0,209.0,532.0,39.3,26.0,96.0,27.1,106.0,141.0,75.2,14.5,21.6,36.1,17.6,16.1,9.4,2.9,13.5,68.8,1.009,0.23
2010,capebreton,February,5.0,139.0,345.0,40.3,17.0,65.0,26.2,98.0,130.0,75.4,13.0,24.6,37.6,17.4,21.4,12.8,1.6,20.6,78.6,1.016,0.239
2010,dalhousie,Total,20.0,506.0,1218.0,41.5,43.0,156.0,27.6,253.0,365.0,69.3,13.8,26.8,40.5,16.4,19.5,6.2,1.8,16.1,65.4,0.982,0.054
2010,dalhousie,Exhibition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,dalhousie,Home,10.0,264.0,609.0,43.3,20.0,78.0,25.6,129.0,193.0,66.8,15.3,28.2,43.5,17.1,22.4,7.0,1.5,15.7,67.7,0.996,0.109
