,NAME,SEASON,DREB/G,OREB/G,REB/G,PF/G,A/G,TO/G,A/TO,STL/G,BLK/G,player_id
0,Lydia Va Vilsteren,2012,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0
1,Chika Chiekwe,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,Jessica Boutilier,2012,0.0,0.2,0.2,0.5,0.3,0.2,1.3,0.2,0.0,2
3,Stefanie Chapman,2012,1.6,3.5,5.1,2.2,4.3,2.6,1.7,2.3,0.1,3
4,Melissa Gottschall,2012,0.3,0.3,0.6,0.9,1.1,1.1,1.0,0.2,0.0,4
5,Kristy Moore,2012,1.2,5.0,6.2,1.7,1.3,2.0,0.7,1.6,0.1,5
6,Rit Leila Sibo,2012,0.9,1.4,2.4,0.8,0.7,0.8,0.9,0.8,0.1,6
7,Abbey Duinker,2012,2.1,5.0,7.0,2.8,2.1,1.4,1.5,0.8,1.7,7
8,Emma Duinker,2012,2.3,5.3,7.6,2.3,2.4,1.9,1.3,0.9,0.5,8
9,Maya Macatumpag,2012,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.2,0.2,9
10,Lindsay Harris,2012,1.5,2.8,4.3,2.3,3.7,2.5,1.5,1.1,0.1,10
11,Jasmine Parent,2012,1.2,2.1,3.3,1.8,1.2,0.8,1.6,0.6,0.1,11
12,Carlie Macdonald,2012,0.3,0.9,1.2,1.0,0.9,1.4,0.7,0.3,0.3,12
13,Kathleen McIver,2012,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13
14,Jessica Steed,2012,0.5,1.3,1.8,1.4,1.3,1.5,0.9,1.1,0.1,14
15,Tanira McClurkin,2012,0.6,1.8,2.4,1.5,4.0,2.4,1.6,1.9,0.0,15
16,Hope Edwards,2012,1.9,1.9,3.8,2.8,0.5,1.5,0.4,0.5,0.2,16
17,Nicole Works,2012,0.0,1.2,1.2,1.7,2.5,0.5,5.0,0.7,0.2,17
18,Jahlica Kirnon,2012,1.4,2.8,4.2,1.6,3.5,1.7,2.1,2.3,0.4,18
19,Sarah MacDonald,2012,0.0,0.6,0.6,0.2,0.4,0.1,4.0,0.1,0.0,19
20,Kayla McCarron,2012,1.9,1.2,3.0,1.7,1.3,1.9,0.6,0.8,0.0,20
