,SEASON,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,PPG,player_id
0,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
1,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,2012,0.2,0.7,33.3,0.2,0.5,33.3,0.0,0.0,0.0,0.6,2
3,2012,4.2,10.3,40.6,0.7,2.0,31.7,2.9,3.9,73.1,11.9,3
4,2012,0.7,1.9,36.1,0.1,0.5,22.2,0.9,1.4,63.0,2.4,4
5,2012,5.2,12.8,40.8,1.8,5.0,35.0,2.9,4.0,71.6,15.1,5
6,2012,0.6,1.6,33.3,0.2,0.6,36.4,0.7,0.8,76.5,1.9,6
7,2012,5.3,14.2,37.3,1.2,3.0,42.4,1.6,2.2,75.0,13.5,7
8,2012,6.3,14.1,45.2,2.5,5.8,43.6,1.4,1.6,87.5,16.6,8
9,2012,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.8,100.0,0.8,9
10,2012,2.5,6.2,40.8,0.6,1.6,33.3,1.6,1.9,89.2,7.3,10
11,2012,2.9,6.2,46.3,0.1,0.4,12.5,1.8,2.4,76.6,7.5,11
12,2012,0.6,1.9,28.9,0.1,0.5,22.2,0.4,0.6,66.7,1.6,12
13,2012,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,13
14,2012,1.9,5.0,39.0,0.6,1.6,33.3,1.4,1.8,80.6,5.9,14
15,2012,2.4,7.2,33.1,0.9,2.6,34.6,1.0,1.4,74.1,6.7,15
16,2012,1.6,3.5,45.8,0.0,0.1,0.0,0.2,0.4,42.9,3.4,16
17,2012,1.3,3.5,38.1,0.5,0.8,60.0,0.5,0.5,100.0,3.7,17
18,2012,4.7,11.4,41.5,1.1,3.4,31.1,1.5,1.9,79.4,12.0,18
19,2012,0.2,1.4,15.4,0.2,1.0,22.2,0.0,0.0,0.0,0.7,19
20,2012,2.8,6.4,43.8,0.1,0.9,11.1,1.1,1.8,65.7,6.8,20
21,2012,3.4,6.8,50.0,0.0,0.1,0.0,2.1,3.1,66.1,8.9,21
22,2012,1.0,2.3,43.2,0.1,0.2,33.3,0.8,1.2,72.7,2.9,22
23,2012,0.3,1.1,29.4,0.0,0.0,0.0,0.4,0.5,75.0,1.0,23
24,2012,8.3,18.2,45.9,2.8,7.0,39.3,4.1,5.5,75.2,23.6,24
25,2012,2.8,8.4,33.3,2.1,5.5,37.8,1.1,1.4,77.8,8.8,25
26,2012,3.9,10.9,35.8,0.0,0.0,0.0,1.8,3.1,55.6,9.6,26
27,2012,4.0,9.0,43.9,0.1,0.1,33.3,3.2,4.1,79.3,11.2,27
28,2012,1.1,2.6,42.3,0.1,0.2,20.0,0.6,0.9,66.7,2.9,28
29,2012,0.0,0.5,0.0,0.0,0.4,0.0,0.1,0.1,100.0,0.1,29
30,2012,5.6,15.8,35.6,1.1,4.5,25.6,2.2,3.4,67.2,14.6,30
31,2012,3.2,7.5,42.4,0.1,0.8,17.6,1.2,1.7,73.5,7.8,31
32,2012,0.4,1.0,38.5,0.1,0.2,33.3,0.3,0.3,100.0,1.2,32
33,2012,0.1,0.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,33
34,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
35,2012,0.1,0.6,20.0,0.0,0.1,0.0,0.4,0.5,75.0,0.6,35
36,2012,3.8,9.2,41.6,0.0,0.0,0.0,1.7,2.0,83.3,9.3,36
37,2012,1.8,5.0,35.6,0.6,1.6,34.4,0.4,0.5,80.0,4.5,37
38,2012,1.5,3.3,45.5,0.0,0.0,0.0,0.6,0.8,64.7,3.5,38
39,2012,0.2,0.6,33.3,0.0,0.0,0.0,0.1,0.1,100.0,0.5,39
40,2012,0.2,0.5,50.0,0.0,0.2,0.0,0.0,0.0,0.0,0.5,40
41,2012,0.2,0.8,20.0,0.0,0.1,0.0,0.2,0.4,37.5,0.5,41
42,2012,2.4,5.6,42.9,0.7,2.6,26.4,0.9,1.3,73.1,6.5,42
43,2012,4.2,11.6,36.4,2.5,7.3,34.7,1.9,2.3,80.4,12.8,43
44,2012,2.4,5.5,43.4,1.7,3.3,51.0,0.7,0.7,90.9,7.1,44
45,2012,5.8,12.2,47.5,0.0,0.1,0.0,4.5,5.5,82.7,16.1,45
46,2012,3.4,6.8,49.6,1.7,3.5,49.3,1.3,1.4,92.9,9.7,46
47,2012,2.9,6.7,42.5,0.7,1.5,43.3,1.2,1.8,69.4,7.6,47
48,2012,0.6,1.0,60.0,0.0,0.1,0.0,0.3,0.3,100.0,1.5,48
49,2012,3.8,8.4,45.7,0.6,1.5,41.2,1.9,3.0,63.6,10.2,49
50,2012,0.9,2.5,38.8,0.6,1.3,46.2,0.4,0.6,66.7,2.9,50
51,2012,8.6,18.3,47.1,1.0,3.3,30.2,6.1,8.4,72.5,24.4,51
52,2012,0.7,2.7,26.1,0.6,1.8,32.3,0.5,0.6,72.7,2.5,52
53,2012,0.2,1.4,15.8,0.1,0.3,25.0,0.1,0.1,100.0,0.6,53
54,2012,1.9,5.2,37.9,0.7,1.8,40.0,1.4,1.9,73.7,6.0,54
55,2012,2.1,6.8,31.0,1.2,4.1,29.9,0.3,0.3,83.3,5.7,55
56,2012,0.2,1.1,16.7,0.0,0.2,0.0,0.1,0.2,50.0,0.5,56
57,2012,0.7,1.5,47.6,0.3,0.6,44.4,0.6,0.9,66.7,2.3,57
58,2012,4.3,11.1,39.0,0.2,0.7,21.4,3.7,4.9,75.5,12.5,58
59,2012,2.8,5.5,51.0,0.5,0.9,50.0,0.8,1.4,61.5,6.9,59
60,2012,2.5,7.4,34.0,0.4,1.9,23.1,1.2,1.4,85.0,6.6,60
61,2012,1.8,4.3,41.5,0.0,0.0,0.0,0.5,1.1,42.9,4.1,61
62,2012,0.5,2.0,26.9,0.2,1.2,18.8,0.4,0.5,83.3,1.7,62
63,2012,2.8,7.3,37.7,1.6,4.0,40.5,0.4,0.6,72.7,7.5,63
64,2012,3.1,8.8,35.6,0.6,2.5,23.5,1.6,2.1,72.1,8.4,64
65,2012,2.2,5.8,38.3,0.7,1.3,50.0,0.7,1.2,58.3,5.8,65
66,2012,5.8,14.7,39.5,1.6,4.3,36.8,4.0,4.8,82.3,17.1,66
67,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,50.0,0.2,67
68,2012,4.8,11.2,42.2,0.1,0.5,16.7,2.9,3.7,79.5,12.5,68
69,2012,0.0,3.0,0.0,0.0,0.0,0.0,0.5,1.0,50.0,0.5,69
70,2012,3.2,8.2,39.7,0.1,0.1,100.0,1.9,3.3,58.5,8.5,70
71,2012,4.9,11.9,40.9,0.0,0.0,0.0,3.9,7.6,51.1,13.7,71
72,2012,2.5,7.5,32.9,0.6,1.3,46.2,1.6,2.2,75.0,7.2,72
73,2012,1.9,4.8,40.6,0.0,0.1,0.0,0.7,1.3,53.8,4.6,73
74,2012,0.5,1.1,46.7,0.1,0.4,20.0,0.0,0.0,0.0,1.1,74
75,2012,1.0,3.7,27.1,0.2,1.2,15.0,0.1,0.2,66.7,2.3,75
76,2012,3.4,10.7,31.9,0.7,2.4,29.8,1.8,2.9,62.1,9.3,76
77,2012,4.2,10.4,40.7,1.5,3.6,40.3,1.0,1.3,77.3,10.9,77
78,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78
79,2012,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
80,2012,1.6,4.1,40.2,0.0,0.0,0.0,0.9,1.6,59.4,4.3,80
81,2012,7.0,16.9,41.7,1.8,4.7,37.6,4.8,5.9,80.5,20.6,81
82,2012,1.6,3.1,50.0,0.0,0.1,0.0,0.6,0.8,80.0,3.7,82
83,2012,0.1,1.2,9.1,0.0,0.2,0.0,0.2,0.2,100.0,0.4,83
84,2012,0.6,1.9,31.0,0.1,0.3,40.0,0.6,0.7,81.8,1.9,84
85,2012,1.6,3.8,40.8,0.3,1.1,33.3,0.7,1.2,52.0,4.1,85
86,2012,2.2,5.5,39.4,0.1,0.5,10.0,1.8,2.9,60.7,6.2,86
87,2012,1.2,2.5,46.9,0.3,0.8,36.4,0.8,1.2,66.7,3.4,87
88,2012,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,88
89,2012,1.9,5.5,34.3,0.0,0.3,0.0,1.4,2.7,51.0,5.2,89
90,2012,2.8,9.0,31.1,0.7,2.9,22.8,5.0,6.6,76.5,11.3,90
91,2012,2.2,5.2,42.0,0.5,1.6,33.3,0.9,1.1,78.9,5.8,91
92,2012,0.7,0.7,100.0,0.0,0.0,0.0,0.7,0.7,100.0,2.0,92
93,2012,2.1,4.3,48.3,0.1,0.1,100.0,0.9,1.2,75.0,5.2,93
94,2012,2.6,6.3,40.9,0.6,1.9,29.7,2.2,2.6,84.6,8.0,94
95,2012,3.7,10.2,36.3,1.8,4.8,37.9,2.2,2.5,86.3,11.4,95
96,2012,2.2,7.1,31.1,0.9,2.6,33.3,1.5,1.9,75.9,6.7,96
97,2012,3.3,9.5,35.0,1.6,4.6,34.8,3.6,4.9,74.0,11.9,97
98,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98
99,2012,2.7,9.1,29.7,0.3,1.9,16.7,0.9,1.2,70.0,6.6,99
100,2012,0.2,1.0,20.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,100
101,2012,3.7,10.7,34.8,0.3,1.5,22.7,2.3,2.8,81.0,10.1,101
102,2012,1.8,6.5,28.2,1.2,4.6,25.5,0.9,1.0,91.7,5.8,102
103,2012,1.6,5.8,28.3,0.6,2.9,19.1,0.4,0.8,50.0,4.2,103
104,2012,0.5,2.0,25.0,0.0,0.2,0.0,0.1,0.2,33.3,1.1,104
105,2012,1.2,4.1,29.2,0.2,1.3,19.0,1.8,2.9,60.9,4.4,105
106,2012,2.3,6.1,38.0,0.0,0.1,0.0,0.9,1.3,68.4,5.5,106
107,2012,4.9,13.0,37.9,1.0,3.2,31.1,5.5,7.4,74.8,16.4,107
108,2012,3.3,11.3,29.0,1.0,4.8,20.8,0.9,1.8,48.1,8.4,108
109,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109
110,2012,2.6,7.8,33.3,0.9,3.3,28.0,1.1,2.2,48.5,7.2,110
111,2012,1.4,6.9,20.2,0.3,2.1,16.1,0.5,0.9,61.5,3.7,111
112,2012,2.1,6.7,30.9,1.3,4.4,29.5,0.7,0.8,90.9,6.1,112
113,2012,1.2,3.4,34.5,0.0,0.0,0.0,1.4,2.9,47.8,3.8,113
114,2012,2.4,7.1,33.6,1.0,3.8,26.2,1.4,2.4,60.5,7.2,114
115,2012,0.0,0.8,0.0,0.0,0.2,0.0,0.2,0.5,50.0,0.3,115
116,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116
117,2012,1.9,6.2,30.1,0.0,0.1,0.0,0.5,0.9,50.0,4.2,117
118,2012,0.5,1.0,50.0,0.0,0.0,0.0,0.5,2.5,20.0,1.5,118
119,2012,2.4,8.4,28.6,0.8,4.6,17.4,0.5,1.2,41.7,6.1,119
120,2012,1.7,4.6,36.5,0.8,2.1,36.4,1.6,2.1,75.8,5.7,120
121,2012,0.4,1.0,37.5,0.0,0.2,0.0,0.4,0.4,85.7,1.1,121
122,2012,4.1,9.8,41.7,2.1,5.1,40.7,1.5,1.9,77.4,11.7,122
123,2012,0.2,0.8,20.0,0.1,0.2,33.3,0.2,0.5,33.3,0.5,123
124,2012,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124
125,2012,2.1,5.5,37.8,0.1,0.5,28.6,1.7,2.7,65.0,6.0,125
126,2012,3.6,7.8,46.8,0.4,1.0,37.5,1.4,1.7,81.5,9.0,126
127,2012,0.8,2.3,34.3,0.0,0.4,0.0,0.5,0.7,80.0,2.1,127
128,2012,2.2,7.6,29.5,0.5,2.5,20.0,1.4,2.8,50.0,6.4,128
129,2012,2.7,8.9,30.3,1.1,4.4,23.9,1.2,1.6,80.0,7.7,129
130,2012,0.1,0.8,8.3,0.0,0.1,0.0,0.1,0.1,100.0,0.3,130
131,2012,3.8,9.3,40.7,0.0,0.1,0.0,1.8,2.7,65.9,9.4,131
132,2012,2.6,7.5,34.2,0.8,2.2,33.3,0.6,0.9,64.3,6.4,132
133,2012,2.1,5.9,36.2,0.6,2.1,27.3,1.4,1.9,76.7,6.3,133
134,2012,4.2,10.2,41.8,0.0,0.0,0.0,3.7,6.1,60.3,12.2,134
135,2012,0.6,1.5,42.9,0.0,0.1,0.0,0.3,0.5,57.1,1.6,135
136,2012,4.0,10.6,37.6,1.0,3.1,31.8,2.1,2.8,76.9,11.1,136
137,2012,0.4,1.5,27.8,0.2,0.8,22.2,0.0,0.0,0.0,1.0,137
138,2012,1.7,4.0,42.2,0.4,1.2,35.0,0.7,1.0,68.8,4.5,138
139,2012,1.2,4.3,29.0,0.4,1.2,30.0,1.2,1.5,83.3,4.1,139
140,2012,2.4,7.6,31.1,1.7,5.3,31.8,0.9,1.2,73.7,7.3,140
141,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141
142,2012,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.8,50.0,0.4,142
143,2012,1.9,4.3,43.5,0.9,1.8,48.3,1.2,1.4,87.0,5.9,143
144,2012,2.8,4.6,60.8,0.1,0.2,33.3,1.3,1.7,77.8,7.0,144
145,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145
146,2012,4.3,11.6,37.4,1.1,3.3,34.7,1.9,2.5,75.7,11.7,146
147,2012,0.6,1.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,147
148,2012,3.1,9.7,31.7,1.3,3.9,34.5,1.6,2.1,75.0,9.1,148
149,2012,0.7,2.0,35.7,0.3,0.5,57.1,0.0,0.0,0.0,1.7,149
150,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
151,2012,0.9,2.8,31.1,0.0,0.4,0.0,0.6,1.1,52.9,2.3,151
152,2012,0.5,1.3,35.7,0.0,0.0,0.0,0.3,0.5,50.0,1.2,152
153,2012,2.5,6.8,36.4,0.6,2.1,29.6,1.0,1.7,59.1,6.5,153
154,2012,1.9,4.0,46.4,0.0,0.1,0.0,0.8,1.3,61.1,4.5,154
155,2012,0.5,2.3,20.0,0.2,1.2,15.4,0.3,0.4,75.0,1.4,155
156,2012,6.8,14.9,45.4,0.2,1.4,17.4,3.8,4.8,79.2,17.6,156
157,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157
158,2012,3.2,7.3,43.5,0.2,0.6,35.7,1.7,2.4,73.1,8.3,158
159,2012,1.9,4.7,40.4,1.3,3.4,38.7,0.2,0.3,66.7,5.3,159
160,2012,0.1,1.4,7.7,0.0,0.0,0.0,0.4,0.7,66.7,0.7,160
161,2012,2.7,6.7,40.8,0.6,1.8,32.5,1.8,2.7,66.7,7.9,161
162,2012,0.2,1.3,14.8,0.0,0.6,0.0,0.4,0.6,69.2,0.8,162
163,2012,2.0,5.1,38.1,0.8,2.6,31.6,0.5,1.0,57.1,5.3,163
164,2012,0.5,2.2,22.7,0.2,1.1,21.7,0.1,0.3,28.6,1.4,164
165,2012,3.0,7.6,39.9,0.0,0.0,0.0,1.6,2.2,75.0,7.7,165
166,2012,1.2,3.6,34.5,0.9,2.9,31.9,0.6,0.6,90.0,4.0,166
167,2012,4.0,10.9,36.8,0.2,1.6,14.3,1.7,2.3,72.5,9.9,167
168,2012,0.4,1.5,25.0,0.4,1.0,37.5,0.0,0.0,0.0,1.1,168
169,2012,5.0,12.2,40.9,0.0,0.2,0.0,3.9,6.6,59.3,13.9,169
170,2012,0.9,2.8,31.1,0.5,1.8,30.8,0.5,0.5,91.7,2.8,170
171,2012,5.0,11.6,43.4,1.2,2.9,42.2,2.4,3.7,64.2,13.7,171
172,2012,2.9,9.0,32.2,1.3,4.9,25.9,1.1,1.5,75.8,8.2,172
173,2012,0.2,1.2,16.7,0.1,0.7,14.3,0.0,0.0,0.0,0.5,173
174,2012,3.1,10.4,30.1,1.2,3.6,32.5,0.9,1.5,59.4,8.3,174
175,2012,4.1,12.0,34.6,1.3,4.4,29.9,1.9,2.7,68.3,11.5,175
176,2012,4.1,9.2,44.3,0.0,0.0,100.0,2.9,3.7,78.0,11.1,176
177,2012,2.5,7.7,31.8,0.8,2.7,30.0,1.9,2.9,65.1,7.6,177
178,2012,0.8,1.6,48.1,0.0,0.0,0.0,0.2,0.4,66.7,1.8,178
179,2012,1.6,4.6,35.4,0.0,0.1,0.0,0.6,1.0,57.1,3.9,179
180,2012,0.8,1.2,60.0,0.1,0.2,33.3,0.2,0.3,75.0,1.8,180
181,2012,1.1,4.8,23.6,0.5,2.1,25.5,1.3,2.0,65.9,4.1,181
182,2012,2.1,7.9,27.1,1.0,3.5,28.4,2.0,3.3,59.4,7.2,182
183,2012,4.0,11.0,35.9,2.2,6.7,32.9,1.6,1.9,85.0,11.7,183
184,2012,2.5,6.2,39.5,0.1,0.5,16.7,1.6,2.5,65.6,6.6,184
185,2012,1.8,5.4,33.3,0.8,1.8,43.2,1.1,1.8,64.9,5.5,185
186,2012,0.2,1.0,21.4,0.0,0.0,0.0,0.4,0.6,75.0,0.9,186
187,2012,3.3,8.7,38.0,0.0,0.0,0.0,3.5,5.1,69.6,10.2,187
188,2012,4.8,12.6,37.9,0.2,1.2,17.6,1.2,1.8,68.0,11.0,188
189,2012,0.6,1.4,42.9,0.6,1.0,60.0,0.0,0.0,0.0,1.8,189
190,2012,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,190
191,2012,3.7,9.7,37.9,0.0,0.0,100.0,4.0,5.8,68.6,11.3,191
192,2012,2.0,4.3,47.3,0.0,0.0,0.0,1.2,1.6,75.8,5.3,192
193,2012,0.8,2.2,33.3,0.2,0.5,50.0,1.0,2.0,50.0,2.8,193
194,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194
195,2012,1.3,4.6,28.4,0.0,0.2,0.0,0.6,0.9,68.4,3.2,195
196,2012,2.9,8.8,33.0,1.8,5.5,33.1,0.8,1.2,69.2,8.5,196
197,2012,0.4,1.4,27.3,0.2,1.1,22.2,0.0,0.0,0.0,1.0,197
198,2012,0.9,4.1,20.7,0.2,1.8,13.2,0.9,1.1,78.3,2.8,198
199,2012,3.1,8.9,35.2,0.3,1.6,19.4,1.7,3.0,56.9,8.3,199
200,2012,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.6,33.3,0.2,200
201,2012,0.0,1.0,0.0,0.0,0.0,0.0,0.3,0.7,50.0,0.3,201
202,2012,0.4,1.1,33.3,0.0,0.0,0.0,0.2,0.5,50.0,1.0,202
203,2012,3.6,10.3,35.4,1.6,4.9,33.6,1.9,2.4,78.8,10.8,203
204,2012,0.6,2.5,25.5,0.2,1.0,21.1,0.3,0.8,40.0,1.8,204
205,2012,0.9,3.0,30.3,0.1,0.3,28.6,0.5,0.8,61.1,2.4,205
206,2012,5.8,12.7,45.5,0.0,0.2,20.0,2.3,3.1,72.5,13.9,206
207,2012,1.5,4.2,35.5,0.0,0.1,0.0,0.9,2.1,43.5,3.9,207
208,2012,1.1,3.7,31.1,0.5,2.0,25.0,1.1,1.6,66.7,3.9,208
209,2012,0.1,0.9,16.7,0.1,0.6,25.0,0.3,0.3,100.0,0.7,209
210,2012,1.1,4.4,25.8,0.5,2.0,22.2,0.4,0.5,81.8,3.1,210
211,2012,0.7,3.0,23.1,0.4,1.5,27.3,1.1,1.8,62.5,2.9,211
212,2012,1.5,7.3,21.3,0.3,1.8,15.0,2.6,4.5,58.6,6.0,212
213,2012,1.2,4.3,27.5,0.2,0.9,21.1,0.7,1.0,68.2,3.3,213
214,2012,0.1,0.6,11.1,0.0,0.3,0.0,0.1,0.3,50.0,0.3,214
215,2012,3.5,10.5,33.8,1.4,4.5,30.3,1.8,2.4,75.5,10.3,215
216,2012,0.3,1.4,21.7,0.0,0.1,0.0,0.4,0.9,40.0,1.0,216
217,2012,0.4,1.4,27.8,0.0,0.0,0.0,0.2,0.7,33.3,1.0,217
218,2012,3.4,7.5,45.6,0.1,0.2,40.0,3.0,3.9,76.8,10.0,218
219,2012,0.8,1.6,50.0,0.0,0.1,0.0,0.1,0.4,40.0,1.7,219
220,2012,4.1,9.6,42.4,0.7,2.3,28.6,2.9,3.4,85.2,11.7,220
221,2012,1.2,4.1,30.5,0.5,1.3,38.5,1.2,1.7,73.5,4.3,221
222,2012,1.8,5.6,31.5,1.3,3.9,33.7,0.6,0.9,73.7,5.5,222
223,2012,0.2,0.6,33.3,0.2,0.6,33.3,0.0,0.0,0.0,0.6,223
224,2012,0.5,2.6,20.7,0.5,1.8,25.0,0.5,0.7,75.0,2.1,224
225,2012,1.5,5.0,30.0,0.2,1.2,20.8,0.2,0.2,100.0,3.5,225
226,2012,0.5,0.9,57.1,0.0,0.1,0.0,0.1,0.6,20.0,1.1,226
227,2012,2.3,6.1,37.9,0.0,0.3,0.0,1.8,2.8,64.8,6.5,227
228,2012,3.7,7.8,47.4,0.0,0.0,0.0,2.1,3.4,62.2,9.5,228
229,2012,1.5,4.2,35.9,0.4,1.7,24.3,0.5,1.1,41.7,3.9,229
230,2012,0.7,1.8,40.5,0.0,0.0,0.0,0.3,0.5,54.5,1.7,230
